"name","N","K","C","p_jump","avg_n_peaks","max_n_peaks","min_n_peaks","avg_value","max_value","min_value","fitness_0","fitness_1","fitness_2","fitness_3","fitness_4","fitness_5","fitness_6","fitness_7","fitness_8","fitness_9","fitness_10","fitness_11","fitness_12","fitness_13","fitness_14","fitness_15","fitness_16","fitness_17","fitness_18","fitness_19","fitness_20","fitness_21","fitness_22","fitness_23","fitness_24","fitness_25","fitness_26","fitness_27","fitness_28","fitness_29","fitness_30","fitness_31","fitness_32","fitness_33","fitness_34","fitness_35","fitness_36","fitness_37","fitness_38","fitness_39","fitness_40","fitness_41","fitness_42","fitness_43","fitness_44","fitness_45","fitness_46","fitness_47","fitness_48","fitness_49"
"N = 4, K = 0, C = 0, p_jump = 0","4","0","0.0","0.0","1.0","1.0","1.0","0.502540970505952","0.9516741855017374","0.0543913158209155","0.5032162231720458","0.6265171016680671","0.7235403372596712","0.795322122554876","0.8465724013631274","0.8828323075935012","0.9090206937184694","0.9289867549859918","0.9429404520470777","0.9584102820776506","0.9678223637631134","0.9752441788454105","0.9820914174227088","0.9864384674607672","0.9891654263676529","0.9921026752389257","0.9945989755080977","0.9952020894746154","0.9967515099699528","0.9975547609596602","0.9975547609596602","0.9977215293442624","0.9981039563861493","0.9989895644406113","0.9989895644406113","0.9991017562332217","0.9991017562332217","0.9991017562332217","0.9991017562332217","0.9996800196864356","0.9996800196864356","0.9996800196864356","0.9996800196864356","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"N = 4, K = 0, C = 0, p_jump = 0.1","4","0","0.0","0.1","1.0","1.0","1.0","0.4953633714945293","0.9435589100677655","0.0409964921585875","0.5084641212663341","0.6323225502050049","0.7261661968602181","0.7911771000294566","0.8436272146718383","0.8831141885706809","0.9118624112359216","0.9333499650183247","0.9475733682522246","0.9612096805013476","0.9691178806584202","0.9790355341068738","0.9856210115674492","0.9888239606616352","0.9914342281384124","0.9936834070261266","0.9952260455686098","0.9972291695734494","0.9973148722203562","0.9979918515220667","0.9983854048100358","0.9987848532387559","0.9992582392108067","0.9996069360682589","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"N = 4, K = 0, C = 0, p_jump = 0.2","4","0","0.0","0.2","1.0","1.0","1.0","0.5034819717570957","0.9853363250768309","0.03293812550463138","0.5095834943910986","0.6463082202564355","0.7425294692255269","0.8062091134122163","0.8534942563072895","0.889417856834538","0.9155990080329113","0.9366281422520328","0.9491960041154597","0.9592872851548983","0.9682237916117477","0.9753310366571135","0.9805630760644226","0.9859827448807611","0.9883166191726991","0.9900859752836668","0.992889133336512","0.9950478412719093","0.9958179164555814","0.9972347812976282","0.9979518835254929","0.9981032621052739","0.9989256476483954","0.9995181051834409","0.9995335789482024","0.9995335789482024","0.9998783195546062","0.9998783195546062","0.9999640681268004","0.9999786017364104","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"N = 4, K = 0, C = 0, p_jump = 0.3","4","0","0.0","0.3","1.0","1.0","1.0","0.49816628837117277","0.9455359077046347","0.04897703041800039","0.4985865080717163","0.6468612842046857","0.7418534963558814","0.8069198431457723","0.8515871792669242","0.8853307833859783","0.9123597229734308","0.9301524602431388","0.9468074546734194","0.9606446947676677","0.971023416826457","0.9765278959371188","0.9811248229990779","0.9857711812299812","0.9896098476550088","0.9912949746577995","0.9926879481674723","0.9940224148819152","0.9950357764621508","0.9966324594928307","0.9970000586883658","0.9981036952319974","0.9981302190194552","0.998258159807089","0.9987710665634973","0.9989524456323245","0.9990923456498954","0.9991625595358569","0.9994328175730247","0.9996682162235705","0.9996682162235705","0.9996682162235705","0.9996682162235705","0.9999364737373503","0.9999364737373503","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"N = 4, K = 0, C = 0, p_jump = 0.4","4","0","0.0","0.4","1.0","1.0","1.0","0.501473392253664","0.9703001094726261","0.03250531555183203","0.49633096917864816","0.6436326960883514","0.735053349241118","0.800155105177429","0.844651980782983","0.8840747471983132","0.9102319047929373","0.9257054146573296","0.9407198625021809","0.9503654642091457","0.9620838099971675","0.9686257844207572","0.9753036725836414","0.9814936381998158","0.9855363696330317","0.9876936680750258","0.9895773073122949","0.9911389543457475","0.9932998804366121","0.9945122026525716","0.995424225811564","0.9958539534585767","0.9977747183070022","0.9983565361967986","0.9991044644849721","0.999105159162225","0.9992527031547581","0.9992527031547581","0.9993744057422411","0.9993744057422411","0.9993880588037939","0.9995416135027786","0.9995416135027786","0.9995416135027786","0.9995416135027786","0.9995712996497179","0.9995712996497179","0.9997350636932626","0.9999939263501498","0.9999939263501498","0.9999939263501498","0.9999939263501498","0.9999939263501498","0.9999939263501498","1.0","1.0","1.0","1.0","1.0","1.0"
"N = 4, K = 0, C = 0, p_jump = 0.5","4","0","0.0","0.5","1.0","1.0","1.0","0.49908204836768644","0.9589346622765814","0.045398273858167804","0.4921129489682187","0.6420314045149829","0.7389507681800516","0.8022164773751739","0.8456904222350656","0.8798549879813696","0.8984753455124566","0.9167101104596268","0.9324320535329277","0.9463782872680626","0.9551508330612621","0.9630297861018157","0.9689719181019751","0.9739534956351528","0.9771278564212953","0.9811420939418916","0.9835897446142826","0.9865123708936115","0.9887992708895236","0.9901771248855835","0.9916307178546206","0.9930023234598713","0.9944220595212562","0.9947700023662528","0.9963071090323541","0.9966165424022655","0.9970820793467371","0.9975840186543266","0.9985476918496835","0.9985476918496835","0.9989094776815025","0.9991370369951277","0.9991370369951277","0.9993207714236636","0.9993207714236636","0.9993207714236636","0.999403556994283","0.9997510981637423","0.9997510981637423","0.999820778807587","0.999820778807587","0.999820778807587","0.999820778807587","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"N = 4, K = 0, C = 0, p_jump = 0.6","4","0","0.0","0.6","1.0","1.0","1.0","0.4980386871278566","0.9628329918361985","0.04362046099212663","0.48389660301061393","0.6418224663775818","0.7354185283302725","0.7972388961663941","0.838642950873415","0.8747005470472586","0.9023450876829915","0.9209518825385669","0.9341871702122868","0.9462193222052343","0.9567560087403233","0.9627304751433701","0.9673929831397021","0.9712228108979089","0.9750795938026531","0.9794826913309237","0.982767538653417","0.9851316138736835","0.987171832338935","0.989169839504983","0.9912405912755845","0.9931675567550821","0.9944209031423121","0.995339922555928","0.9958744680916564","0.9967742256310393","0.9970969881362588","0.9977172845739678","0.9977271587774948","0.998425594695753","0.999054294903904","0.9991069054218642","0.9991069054218642","0.9992073484379225","0.9994475448501803","0.9994475448501803","0.9997140754067222","0.9997140754067222","0.9998408792116276","0.9998408792116276","0.999940861099782","0.999940861099782","0.999940861099782","0.999940861099782","0.999940861099782","0.999940861099782","0.999940861099782","1.0","1.0","1.0"
"N = 4, K = 0, C = 0, p_jump = 0.7","4","0","0.0","0.7","1.0","1.0","1.0","0.4994606222588384","0.9497948365464798","0.030934543957569838","0.4928892814339533","0.6525472998180988","0.7431191720882057","0.8003248756366597","0.8408825304382812","0.8680151294685221","0.8854663897631465","0.9010311855061228","0.917384593372272","0.9291268750576347","0.9417956429255069","0.9494538393645802","0.9574173279936188","0.9632788927244492","0.9693359918566311","0.9753819847930443","0.9799842812021938","0.9830779131923824","0.9842696564952813","0.9865260888396241","0.9877392042172732","0.9898666796506861","0.9910407032117554","0.9921101864538301","0.9935308829246988","0.994628601741534","0.9952000184354791","0.9957617139718046","0.9963401697383479","0.9964420209525201","0.9969552791842009","0.9971988107396468","0.9975451561803962","0.9979229364303744","0.9984040649553623","0.9988428589783648","0.9991130001595676","0.9995082823022157","0.9996078909112959","0.9996078909112959","0.9997954461763497","0.9997954461763497","0.9997954461763497","0.9997954461763497","0.9998970726342225","0.9998970726342225","0.9998970726342225","0.9998970726342225","0.9998970726342225","0.9999519887925374"
"N = 4, K = 0, C = 0, p_jump = 0.8","4","0","0.0","0.8","1.0","1.0","1.0","0.5006972986173339","0.9429233632315679","0.05548068910780385","0.48713428183503565","0.6605149526945342","0.7531630022986932","0.8071897824967478","0.8419248380791147","0.8675840489009274","0.8927368665053564","0.9087947499850855","0.9206712322685018","0.9313042364308156","0.9408055690594707","0.9475564956492957","0.9553708497703473","0.9628799499351045","0.9669327689230157","0.9716750681951818","0.9742032268421296","0.9780184196752549","0.9800276063563124","0.9823348487497237","0.9844483142234869","0.9862953422983065","0.9874492992358066","0.9886153136053508","0.9896976460209165","0.991300362972693","0.9918534089735694","0.9928676660600086","0.9936950591779682","0.9947262887183117","0.9952453732197596","0.9961830357016279","0.9962612087452698","0.9966971488816043","0.9971673852758199","0.9972967923971685","0.9974148743689822","0.9974564492500223","0.9976985141651521","0.9978858936539274","0.9980174670873762","0.998264399177424","0.9984375952173684","0.9987329329302815","0.9987955807438778","0.9988004157863669","0.9988004157863669","0.998956757444744","0.998956757444744","0.9990247135492131"
"N = 4, K = 0, C = 0, p_jump = 0.9","4","0","0.0","0.9","1.0","1.0","1.0","0.4997429330289103","0.9783452556158828","0.020190168111544476","0.5160086042620855","0.6717750637720471","0.7542354823785746","0.8068945446588344","0.8546561894681205","0.8761504393711697","0.8922026191995192","0.9064675090042524","0.917413231360905","0.9265064732599211","0.9378289517167432","0.9442053648662921","0.9503541243399523","0.9549380616888279","0.9590324715410677","0.9631252878419302","0.9659039073679626","0.9703470101054886","0.9730898114218922","0.9755069744302627","0.9768172621777862","0.979643884310807","0.9810729684669817","0.9823321593899237","0.9841852678812181","0.9854361839887777","0.9869924709317934","0.988078344019129","0.9893664900841227","0.9900317529717523","0.9911908692856848","0.9919784620188962","0.993078789714944","0.993504642904415","0.9941778762909517","0.9949711028771626","0.995273868194065","0.9957532875494469","0.9958940597156675","0.9961117468204377","0.9961117468204377","0.9962649625924752","0.9969211387033754","0.9974387471561882","0.9977756848128183","0.9982593004637352","0.9986843764213432","0.9987985787487929","0.9987985787487929","0.9988878810875372"
